State,District,Year,Season,Crop,Rainfall,Temperature,Area,Yield
2,PRAKASAM,2008,1,3,408.8,29.0945,12174,13744
2,PRAKASAM,2008,1,4,408.8,29.0945,401,1025
2,PRAKASAM,2008,1,1,408.8,29.0945,47434,167774
2,PRAKASAM,2008,2,3,528.9,26.1485,54,61
2,PRAKASAM,2008,2,4,528.9,26.1485,4843,11328
2,PRAKASAM,2008,2,1,528.9,26.1485,83957,314503
2,PRAKASAM,2009,1,3,388.1,29.6225,4915,12450
2,PRAKASAM,2009,1,4,388.1,29.6225,408,481
2,PRAKASAM,2009,1,1,388.1,29.6225,32959,117730
2,PRAKASAM,2009,2,3,247,26.8253333333333,426,1079
2,PRAKASAM,2009,2,4,247,26.8253333333333,7104,16460
2,PRAKASAM,2009,2,1,247,26.8253333333333,96240,371390
2,PRAKASAM,2010,1,3,1042.8,29.0765,18830,40729
2,PRAKASAM,2010,1,4,1042.8,29.0765,124,179
2,PRAKASAM,2010,1,1,1042.8,29.0765,48878,143300
2,PRAKASAM,2010,2,3,360.2,26.7608333333333,990,2141
2,PRAKASAM,2010,2,4,360.2,26.7608333333333,3803,6199
2,PRAKASAM,2010,2,1,360.2,26.7608333333333,107903,376150
2,SRIKAKULAM,1997,1,3,690.178,29.3941666666667,3500,6100
2,SRIKAKULAM,1997,1,4,690.178,29.3941666666667,300,200
2,SRIKAKULAM,1997,1,1,690.178,29.3941666666667,185700,278500
2,SRIKAKULAM,1997,2,4,199.516,25.9783333333333,400,200
2,SRIKAKULAM,1997,2,1,199.516,25.9783333333333,600,2100
2,SRIKAKULAM,1998,1,3,1059.946,29.5125,4100,4600
2,SRIKAKULAM,1998,1,4,1059.946,29.5125,300,100
2,SRIKAKULAM,1998,1,1,1059.946,29.5125,194400,370700
